snr,length,percentage_true,percentage_false
-40,1.0,0,0
-40,1.5,0,0
-40,2.0,0,0
-40,2.5,0,0
-40,3.0,0,0
-40,3.5,0,0
-40,4.0,0,0
-40,4.5,0,0
-40,5.0,0.234192037470726,0
-40,5.5,0.234192037470726,0
-40,6.0,0.234192037470726,0
-30,0.5,0,0
-30,1.0,0,0
-30,1.5,0,0
-30,2.0,0,0
-30,2.5,0,0
-30,3.0,0.234192037470726,0
-30,3.5,0.936768149882904,0
-30,4.0,1.40515222482436,0
-30,4.5,2.81030444964871,0
-30,5.0,2.81030444964871,0.00234192037470726
-30,5.5,4.21545667447307,0
-30,6.0,4.91803278688525,0
-20,0.5,0,0
-20,1.0,0,0
-20,1.5,0,0
-20,2.0,0,0
-20,2.5,2.57611241217799,0
-20,3.0,6.08899297423888,0
-20,3.5,16.8618266978923,0
-20,4.0,19.9063231850117,0
-20,4.5,26.6978922716628,0
-20,5.0,31.615925058548,0.00234192037470726
-20,5.5,36.5339578454333,0.00234192037470726
-20,6.0,41.4519906323185,0.00234192037470726
-10,0.5,0,0
-10,1.0,0,0
-10,1.5,0,0
-10,2.0,1.63934426229508,0.00234192037470726
-10,2.5,16.6276346604215,0.00468384074941452
-10,3.0,35.3629976580796,0
-10,3.5,54.0983606557377,0.00468384074941452
-10,4.0,64.1686182669789,0.00234192037470726
-10,4.5,71.6627634660422,0.00468384074941452
-10,5.0,80.327868852459,0.00702576112412178
-10,5.5,84.3091334894614,0.00468384074941452
-10,6.0,87.1194379391101,0.00702576112412178
0,0.5,0,0
0,1.0,0,0
0,1.5,0,0
0,2.0,10.0702576112412,0.00234192037470726
0,2.5,49.6487119437939,0.00468384074941452
0,3.0,71.8969555035129,0.00702576112412178
0,3.5,84.5433255269321,0.00702576112412178
0,4.0,90.1639344262295,0.00468384074941452
0,4.5,92.9742388758782,0.00468384074941452
0,5.0,95.5503512880562,0.00468384074941452
0,5.5,96.7213114754098,0.00468384074941452
0,6.0,96.9555035128806,0.00468384074941452
10,0.5,0,0
10,1.0,0,0
10,1.5,0.468384074941452,0
10,2.0,22.4824355971897,0.00702576112412178
10,2.5,70.96018735363,0.00702576112412178
10,3.0,85.480093676815,0.00468384074941452
10,3.5,92.9742388758782,0.00702576112412178
10,4.0,96.4871194379391,0.00468384074941452
10,4.5,97.8922716627635,0.00468384074941452
10,5.0,98.1264637002342,0.00468384074941452
10,5.5,98.5948477751756,0.00702576112412178
10,6.0,98.5948477751756,0.00702576112412178
20,0.5,0,0
20,1.0,0,0
20,1.5,0.936768149882904,0
20,2.0,37.2365339578454,0.00468384074941452
20,2.5,80.327868852459,0.00702576112412178
20,3.0,92.5058548009368,0.00936768149882904
20,3.5,96.4871194379391,0.00234192037470726
20,4.0,98.1264637002342,0.00234192037470726
20,4.5,98.3606557377049,0.00702576112412178
20,5.0,99.2974238875878,0.00234192037470726
20,5.5,98.8290398126464,0.00936768149882904
20,6.0,99.0632318501171,0.00702576112412178
30,0.5,0,0
30,1.0,0,0
30,1.5,1.63934426229508,0
30,2.0,44.9648711943794,0.00702576112412178
30,2.5,86.8852459016394,0.00468384074941452
30,3.0,94.6135831381733,0.00702576112412178
30,3.5,98.1264637002342,0.00702576112412178
30,4.0,98.8290398126464,0.00702576112412178
30,4.5,99.0632318501171,0.00702576112412178
30,5.0,99.5316159250585,0.00468384074941452
30,5.5,99.0632318501171,0.00936768149882904
30,6.0,99.2974238875878,0.00702576112412178
40,0.5,0.0,0.0
40,1.0,0.0,0.0
40,1.5,2.107728337236534,0.0
40,2.0,50.35128805620609,0.936768149882904
40,2.5,89.22716627634661,0.702576112412178
40,3.0,96.25292740046838,0.702576112412178
40,3.5,98.82903981264637,0.702576112412178
40,4.0,99.06323185011709,0.702576112412178
40,4.5,99.53161592505855,0.468384074941452
40,5.0,99.53161592505855,0.468384074941452
40,5.5,99.29742388758783,0.702576112412178
40,6.0,99.53161592505855,0.468384074941452
